state,avg_child_poverty,avg_mean_commute,population,infected
Pennsylvania,18.877611943145297,25.399999988612844,12820878,211996
Nevada,18.75882350697237,21.735294117647058,3139658,102114
Washington,19.466666808495155,23.189743506602753,7797095,108315
Georgia,30.330817588470268,25.910062765925186,10736059,362921
Arizona,28.47333329518636,21.7,7378494,248139
Wisconsin,16.26249996158812,22.34305551317003,5851754,244928
Nebraska,14.68709671625527,18.079569847353042,1952570,71666
North Carolina,27.05099997520447,25.188000087738036,10611862,278028
Maine,18.725000083446503,23.49999988079071,1345790,6799
Missouri,24.01391308825949,23.668695599099863,6169270,188186
Massachusetts,15.614285673413958,25.31428595951625,6976597,160549
West Virginia,26.37272730740634,28.120000145652078,1778070,25235
New York,19.70967745780945,25.717741935483872,19440469,511368
Indiana,18.254347915234774,24.359782633574113,6745354,185185
Minnesota,14.218390823780805,21.38620683516579,5700671,153620
Alaska,17.86206914638651,11.1999999079211,734002,17057
Oklahoma,23.00909090661383,21.793506486075266,3954821,125195
Montana,18.548214261020934,17.526785697255814,1086759,34252
Maryland,15.445833444595337,30.595833381017048,6083116,146995
North Dakota,11.777358542635756,18.318867899336905,761723,46015
New Jersey,15.152380807059151,30.53333346048991,8936574,240997
Tennessee,26.19578941746762,26.515789433529502,6897576,264587
Alabama,30.668656818902313,26.189552307128906,4908621,194892
Kentucky,28.850833376248676,25.407500092188517,4499692,109670
District of Columbia,25.5,30,720687,17438
Utah,14.620689688057736,20.096551763600317,3282115,117706
Colorado,17.018750049173832,21.665625035762787,5845526,109910
Florida,24.901492588555634,26.391044759038667,21992985,801371
Idaho,20.320454624566164,21.53181832486933,1826156,65088
Texas,23.023622056630654,22.934251984273356,29472295,909257
Wyoming,13.126087085060451,19.195652256841246,567025,14167
Hawaii,13.77500033378601,20.919999980926512,1412687,15367
Virginia,19.872180386593467,27.640601509495784,8626207,183418
Iowa,15.037373759529807,19.55959590757736,3179849,123372
California,20.127586216762147,25.527586065489672,39937489,930628
Louisiana,30.882812596857548,26.526562437415123,4645184,187995
Rhode Island,12.319999885559081,24.799999618530272,1056161,34120
Mississippi,35.12682914733887,26.23902439489597,2989260,120865
Illinois,19.577450962627637,23.55098035288792,12659682,429761
Arkansas,29.711999956766764,23.013333206176757,3038999,113641
New Mexico,30.29393943150838,20.169696894558992,2096640,47232
Delaware,18.366666158040363,25.766666412353516,982895,25311
Connecticut,11.862499952316284,25.97499966621399,3563077,73858
Michigan,22.3301205232919,23.108433700469604,10045029,204326
Vermont,15.235714367457799,24.257142748151505,628061,2219
South Dakota,19.83636366417914,16.966666640657365,903027,47850
New Hampshire,11.989999961853027,25.4,1371246,11320
South Carolina,30.45000009951384,26.06086946570355,5210095,178917
Ohio,20.68636374581944,24.474999991330233,11747694,221909
Kansas,16.262857223692393,17.71809526171003,2910357,89227
Oregon,21.216666718324024,20.180555635028416,4301089,45978
